,0,1
0,0,0.0
1,1,0.0
2,5,0.0
3,6,0.0
4,7,0.0
5,11,0.0
6,14,0.0
7,22,0.0
8,29,0.0
9,33,0.0
10,34,0.0
11,35,0.0
12,37,0.0
13,38,0.0
14,39,0.0
15,41,0.0
16,42,0.0
17,45,0.0
18,46,0.0
19,49,0.0
20,51,0.0
21,53,0.0
22,56,0.0
23,59,0.0
24,60,0.0
25,68,0.0
26,72,0.0
27,75,0.0
28,80,0.0
29,83,0.0
30,84,0.0
31,85,0.0
32,90,0.0
33,92,0.0
34,93,0.0
35,95,0.0
36,96,0.0
37,98,0.0
38,103,0.0
39,110,0.0
40,113,0.0
41,114,0.0
42,115,0.0
43,121,0.0
44,123,0.0
45,124,0.0
46,126,0.0
47,127,0.0
48,128,0.0
49,130,0.0
50,132,0.0
51,136,0.0
52,139,0.0
53,140,0.0
54,142,0.0
55,145,0.0
56,146,0.0
57,161,0.0
58,162,0.0
59,171,0.0
60,172,0.0
61,174,0.0
62,176,0.0
63,195,0.0
64,196,0.0
65,207,0.0
66,209,0.0
67,212,0.0
68,213,0.0
69,214,0.0
70,215,0.0
71,219,0.0
72,230,0.0
73,232,0.0
74,242,0.0
75,243,0.0
76,244,0.0
77,245,0.0
78,247,0.0
79,253,0.0
80,256,0.0
81,257,0.0
82,259,0.0
83,264,0.0
84,265,0.0
85,266,0.0
86,273,0.0
87,274,0.0
88,278,0.0
89,281,0.0
90,284,0.0
91,285,0.0
92,290,0.0
93,291,0.0
94,292,0.0
95,293,0.0
96,294,0.0
97,308,0.0
98,309,0.0
99,310,0.0
100,312,0.0
101,314,0.0
102,317,0.0
103,319,0.0
104,320,0.0
105,323,0.0
106,326,0.0
107,327,0.0
108,329,0.0
109,331,0.0
110,333,0.0
111,335,0.0
112,336,0.0
113,337,0.0
114,338,0.0
115,339,0.0
116,342,0.0
117,346,0.0
118,347,0.0
119,351,0.0
120,354,0.0
121,355,0.0
122,356,0.0
123,358,0.0
124,359,0.0
125,362,0.0
126,363,0.0
127,365,0.0
128,367,0.0
129,369,0.0
130,371,0.0
131,372,0.0
132,375,0.0
133,377,0.0
134,379,0.0
135,380,0.0
136,381,0.0
