,0,1
0,0,0.0
1,1,0.0
2,3,14848.84
3,4,4430.96
4,5,0.0
5,6,0.0
6,7,0.0
7,10,80570.0
8,11,0.0
9,14,0.0
10,15,120342.25
11,20,131468.43
12,21,120291.73
13,22,0.0
14,26,85567.47
15,27,36582.86
16,29,0.0
17,33,0.0
18,34,0.0
19,35,0.0
20,37,0.0
21,38,0.0
22,39,0.0
23,41,0.0
24,42,0.0
25,43,118639.93
26,44,88558.25
27,45,0.0
28,46,0.0
29,47,2077.74
30,48,42340.26
31,49,0.0
32,51,0.0
33,53,0.0
34,56,0.0
35,57,53172.97
36,59,0.0
37,60,0.0
38,61,130916.85
39,68,0.0
40,72,0.0
41,74,79932.12
42,75,0.0
43,76,46375.6
44,77,24218.77
45,80,0.0
46,83,0.0
47,84,0.0
48,85,0.0
49,90,0.0
50,92,0.0
51,93,0.0
52,94,39792.82
53,95,0.0
54,96,0.0
55,97,29705.0
56,98,0.0
57,99,11925.0
58,100,32820.42
59,102,84700.0
60,103,0.0
61,105,120762.22
62,106,103667.43
63,109,11549.07
64,110,0.0
65,111,82980.15
66,113,0.0
67,114,0.0
68,115,0.0
69,116,30375.51
70,121,0.0
71,122,28523.81
72,123,0.0
73,124,0.0
74,125,23335.85
75,126,0.0
76,127,0.0
77,128,0.0
78,130,0.0
79,132,0.0
80,133,48221.75
81,136,0.0
82,137,15570.36
83,139,0.0
84,140,0.0
85,142,0.0
86,145,0.0
87,146,0.0
88,149,51597.97
89,152,92601.13
90,155,161669.08
91,156,66632.0
92,158,119288.22
93,161,0.0
94,162,0.0
95,164,177180.83
96,165,96836.43
97,171,0.0
98,172,0.0
99,174,0.0
100,175,172648.9
101,176,0.0
102,177,34045.41
103,184,102949.74
104,185,136148.75
105,189,62140.31
106,191,181873.57
107,195,0.0
108,196,0.0
109,197,129467.44
110,202,142462.75
111,203,68488.16
112,207,0.0
113,209,0.0
114,210,20227.26
115,212,0.0
116,213,0.0
117,214,0.0
118,215,0.0
119,218,64140.28
120,219,0.0
121,224,100826.49
122,227,73091.3
123,230,0.0
124,232,0.0
125,235,149624.19
126,239,156644.67
127,242,0.0
128,243,0.0
129,244,0.0
130,245,0.0
131,247,0.0
132,250,141246.0
133,251,147020.15
134,253,0.0
135,254,197148.71
136,255,88494.12
137,256,0.0
138,257,0.0
139,259,0.0
140,260,92346.87
141,263,90116.8
142,264,0.0
143,265,0.0
144,266,0.0
145,272,79980.11
146,273,0.0
147,274,0.0
148,275,17899.54
149,278,0.0
150,279,56214.46
151,280,195622.02
152,281,0.0
153,283,29233.33
154,284,0.0
155,285,0.0
156,287,32258.52
157,288,107492.53
158,289,97502.31
159,290,0.0
160,291,0.0
161,292,0.0
162,293,0.0
163,294,0.0
164,295,68973.81
165,296,195954.64
166,297,138140.61
167,298,46888.99
168,299,42571.8
169,302,48388.03
170,303,91102.46
171,304,108945.63
172,305,89910.88
173,308,0.0
174,309,0.0
175,310,0.0
176,312,0.0
177,313,18836.08
178,314,0.0
179,316,59152.64
180,317,0.0
181,318,89039.88
182,319,0.0
183,320,0.0
184,322,54632.15
185,323,0.0
186,326,0.0
187,327,0.0
188,328,96312.67
189,329,0.0
190,331,0.0
191,332,149345.05
192,333,0.0
193,334,40957.0
194,335,0.0
195,336,0.0
196,337,0.0
197,338,0.0
198,339,0.0
199,341,134773.84
200,342,0.0
201,344,117704.64
202,345,73991.92
203,346,0.0
204,347,0.0
205,349,48800.0
206,350,120825.56
207,351,0.0
208,352,55570.28
209,353,11212.83
210,354,0.0
211,355,0.0
212,356,0.0
213,358,0.0
214,359,0.0
215,360,69385.26
216,361,112346.05
217,362,0.0
218,363,0.0
219,364,98632.34
220,365,0.0
221,366,141955.8
222,367,0.0
223,368,12686.29
224,369,0.0
225,370,29534.09
226,371,0.0
227,372,0.0
228,373,34046.4
229,374,25715.46
230,375,0.0
231,376,22506.99
232,377,0.0
233,378,150099.72
234,379,0.0
235,380,0.0
236,381,0.0
