,0,1
0,2,5238422.69
1,19,1116770.25
2,25,1320590.9
3,30,906362681.39
4,31,1421952.64
5,32,5833916.04
6,36,1749599.09
7,54,2670161.0
8,55,1699071.4
10,62,197188114.7
11,63,5442513.48
12,64,9446329.16
13,66,4910494.56
14,67,58751759.57
15,69,7940630.21
16,70,2131231.59
17,71,1750600.0
18,78,30904502.87
19,79,12507724.38
20,82,44513175.01
21,86,14660000.0
22,87,6126657.45
23,89,11041926.93
24,91,4487398.72
25,101,8909664.84
26,104,2865646.42
27,108,14933306.29
28,112,9190977.21
29,117,1042046.19
30,131,1737692.27
31,138,2700007.13
32,141,43733230.05
33,143,1237565.22
34,147,16259280.0
35,150,1413835.03
36,151,33947891.62
37,154,1845956.65
38,159,8777001.14
39,160,4197802.0
40,163,2518713.05
41,166,10844675.1
42,167,4445560.7
43,170,61940700.0
44,173,5424463.93
45,178,15827329.22
46,179,2171358.55
47,181,12640120.03
48,182,15879426.86
49,188,4550512.81
50,190,3733492.39
51,192,5388932.32
52,193,1325090.32
53,194,7172025.66
54,198,65376232.64
55,201,1375593.58
56,205,2042160.11
57,206,2067628.51
58,208,2412194.23
59,217,1462728.14
60,220,2182764.16
61,221,1662256.82
62,222,1595626.26
63,223,1238434.21
64,225,1452092.56
65,228,2508478.36
66,229,4155227.22
67,237,1090802.81
68,246,121879231.81
69,267,2422814.35
70,268,4466037.26
71,270,5852827.34
72,276,1658091.78
73,282,1368933.18
74,300,8000000.0
75,306,4244849.1
76,307,13070806.63
77,324,2846631.46
78,343,1390308.65
79,357,4735916.79
