,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,Iddate,Idchg,machg,TradingDate_x,Symbol_x,ShortName,PE,PB,PS,Turnover,Liquidility,Symbol_y,TradingDate_y,Volatility,Beta1,Cor1,NonSysRisk1,Rsq1,ARsq1,time
37,603703.SH,20160615,28.01,31.8,28.01,30.97,28.95,2.02,6.98,146761.89,446948.271,20160615,1.584,0.047497484823390446,20160615,603703,盛洋科技,203.174751,13.472294,19.741932,0.15301,7.4e-05,603703.0,20160615,0.906852,1.41055,0.666599,0.361933,0.444354,0.442113,37
38,603703.SH,20160616,30.97,31.75,30.1,30.89,30.97,-0.08,-0.26,118604.61,365270.269,20160616,-0.4985,0.00044264109184810607,20160616,603703,盛洋科技,202.649921,13.437494,19.690936,0.12365,6.7e-05,603703.0,20160616,0.905792,1.408876,0.66609,0.360619,0.443675,0.441432,38
39,603703.SH,20160617,30.1,32.08,30.1,30.73,30.89,-0.16,-0.52,109570.88,342934.705,20160617,0.4277,0.0175035194744253,20160617,603703,盛洋科技,201.600262,13.367892,19.588943,0.11423,6.3e-05,603703.0,20160617,0.904256,1.406811,0.666409,0.359653,0.444101,0.441859,39
0,603606.SH,20150206,24.15,24.5,22.6,22.74,24.31,-1.57,-6.46,20929.83,48753.301,20150206,-1.9328,-0.021539554399716332,20150206,603606,东方电缆,49.438793,4.166503,2.017427,0.05921,0.000449,,,,,,,,,0
1,603606.SH,20150209,22.65,22.65,22.06,22.28,22.74,-0.46,-2.02,9631.66,21576.233,20150209,0.6248,-0.005900983090357026,20150209,603606,东方电缆,48.438712,4.082221,1.976617,0.02725,0.00053,,,,,,,,,1
2,603606.SH,20150210,22.2,22.52,22.05,22.3,22.28,0.02,0.09,13588.77,30272.107,20150210,1.5014,0.010799629515282128,20150210,603606,东方电缆,48.482194,4.085885,1.978391,0.03844,0.000459,,,,,,,,,2
3,603606.SH,20150211,22.46,23.2,22.36,22.86,22.3,0.56,2.51,11393.66,26044.8,20150211,0.5128,0.014092938869510796,20150211,603606,东方电缆,49.699684,4.18849,2.028073,0.03223,0.000522,,,,,,,,,3
4,603606.SH,20150212,22.83,23.48,22.75,23.17,22.86,0.31,1.36,11412.39,26325.3,20150212,0.4976,0.014873580694999555,20150212,603606,东方电缆,50.373652,4.245289,2.055575,0.03228,0.000521,,,,,,,,,4
5,603606.SH,20150213,23.4,23.75,23.22,23.63,23.17,0.46,1.99,14375.32,33839.355,20150213,0.9583,0.016214191646429565,20150213,603606,东方电缆,51.373733,4.329572,2.096385,0.04067,0.000528,,,,,,,,,5
6,603606.SH,20150216,23.63,23.82,23.4,23.73,23.63,0.1,0.42,9688.52,22900.228,20150216,0.5786,0.022641882539054414,20150216,603606,东方电缆,51.591142,4.347895,2.105257,0.02741,0.000497,,,,,,,,,6
7,603606.SH,20150217,23.92,23.95,23.5,23.66,23.73,-0.07,-0.3,8458.93,20032.33,20150217,0.7616,0.007450335833840693,20150217,603606,东方电缆,51.438956,4.335069,2.099047,0.02393,0.000468,,,,,,,,,7
8,603606.SH,20150225,23.66,23.77,23.32,23.33,23.66,-0.33,-1.39,7303.9,17119.291,20150225,-0.5563,-0.004482305056423996,20150225,603606,东方电缆,50.721506,4.274605,2.06977,0.02066,0.000494,,,,,,,,,8
9,603606.SH,20150226,23.33,23.63,23.2,23.61,23.33,0.28,1.2,7135.11,16734.425,20150226,2.153,0.005534542691397526,20150226,603606,东方电缆,51.330251,4.325908,2.094611,0.02018,0.00051,,,,,,,,,9
10,603606.SH,20150227,23.61,23.76,23.41,23.7,23.61,0.09,0.38,9060.0,21388.23,20150227,0.3621,0.014509563121148261,20150227,603606,东方电缆,51.525919,4.342398,2.102595,0.02563,0.000488,,,,,,,,,10
11,603606.SH,20150302,23.97,24.47,23.65,24.42,23.7,0.72,3.04,16379.47,39568.075,20150302,0.7849,0.030969420949902515,20150302,603606,东方电缆,53.091264,4.474319,2.166472,0.04634,0.000768,,,,,,,,,11
12,603606.SH,20150303,24.34,24.36,23.9,23.94,24.42,-0.48,-1.97,16775.0,40482.186,20150303,-2.195,-0.0065669383705441176,20150303,603606,东方电缆,52.047701,4.386372,2.123887,0.04745,0.000627,,,,,,,,,12
13,603606.SH,20150304,24.02,24.2,23.95,24.18,23.94,0.24,1.0,14282.78,34413.255,20150304,0.5051,0.015099806301442698,20150304,603606,东方电缆,52.569482,4.430345,2.14518,0.0404,0.000515,,,,,,,,,13
14,603606.SH,20150305,24.27,24.67,24.11,24.55,24.18,0.37,1.53,17340.05,42396.165,20150305,-0.947,0.012346998770645046,20150305,603606,东方电缆,53.373895,4.498138,2.178005,0.04905,0.000476,,,,,,,,,14
15,603606.SH,20150306,24.57,24.68,23.81,23.93,24.55,-0.62,-2.53,15655.27,37675.233,20150306,-0.2244,-0.013425153032832315,20150306,603606,东方电缆,52.02596,4.384539,2.123,0.04429,0.000515,,,,,,,,,15
16,603606.SH,20150309,23.98,23.98,23.6,23.88,23.93,-0.05,-0.21,8549.98,20356.351,20150309,1.8888,0.015191110427898336,20150309,603606,东方电缆,51.917255,4.375378,2.118564,0.02419,0.000446,,,,,,,,,16
17,603606.SH,20150310,23.87,23.88,23.37,23.73,23.88,-0.15,-0.63,11764.37,27743.881,20150310,-0.4948,0.019133040756363018,20150310,603606,东方电缆,51.591142,4.347895,2.105257,0.03328,0.000415,,,,,,,,,17
18,603606.SH,20150311,23.8,23.81,23.48,23.52,23.73,-0.21,-0.89,11453.99,27070.784,20150311,0.147,0.011205690175818628,20150311,603606,东方电缆,51.134583,4.309418,2.086626,0.0324,0.000404,,,,,,,,,18
19,603606.SH,20150312,23.38,23.59,23.05,23.19,23.52,-0.33,-1.4,12849.01,29870.37,20150312,1.7753,-0.010271663896336047,20150312,603606,东方电缆,50.417134,4.248954,2.05735,0.03635,0.000411,,,,,,,,,19
20,603606.SH,20150313,23.2,23.75,23.2,23.74,23.19,0.55,2.37,11088.11,26180.614,20150313,0.7043,0.01237585390808249,20150313,603606,东方电缆,51.612883,4.349727,2.106144,0.03137,0.000461,,,,,,,,,20
21,603606.SH,20150316,23.92,24.49,23.83,24.47,23.74,0.73,3.08,23707.27,57711.367,20150316,2.2649,0.02857259584203664,20150316,603606,东方电缆,53.199968,4.48348,2.170908,0.06706,0.000467,,,,,,,,,21
22,603606.SH,20150317,24.65,25.16,24.29,25.07,24.47,0.6,2.45,33186.08,81949.943,20150317,1.5523,0.011753844321125806,20150317,603606,东方电缆,54.504422,4.593414,2.224138,0.09388,0.000453,,,,,,,,,22
23,603606.SH,20150318,25.0,25.49,24.71,25.43,25.07,0.36,1.44,29754.04,74684.631,20150318,2.1255,0.02051765211278611,20150318,603606,东方电缆,55.287094,4.659375,2.256076,0.08417,0.000433,,,,,,,,,23
24,603606.SH,20150319,25.5,25.58,24.81,25.32,25.43,-0.11,-0.43,27340.84,68741.309,20150319,0.1389,0.015161178107606199,20150319,603606,东方电缆,55.047944,4.63922,2.246317,0.07734,0.000407,,,,,,,,,24
25,603606.SH,20150320,25.22,25.73,25.1,25.46,25.32,0.14,0.55,27661.68,70552.235,20150320,0.9783,0.013028596665562997,20150320,603606,东方电缆,55.352317,4.664871,2.258737,0.07825,0.000385,,,,,,,,,25
26,603606.SH,20150323,25.49,25.75,25.22,25.59,25.46,0.13,0.51,25377.81,64658.548,20150323,1.9465,0.030608988860366004,20150323,603606,东方电缆,55.634948,4.68869,2.270271,0.07179,0.000366,,,,,,,,,26
27,603606.SH,20150324,25.6,25.6,24.38,25.02,25.59,-0.57,-2.23,25946.91,65074.183,20150324,0.0998,0.00909897503673851,20150324,603606,东方电缆,54.395717,4.584253,2.219702,0.0734,0.000364,,,,,,,,,27
28,603606.SH,20150325,25.01,27.09,24.73,27.04,25.02,2.02,8.07,53773.51,139548.79,20150325,-0.8312,0.027681793199034077,20150325,603606,东方电缆,58.787378,4.954365,2.398911,0.15212,0.000376,,,,,,,,,28
29,603606.SH,20150326,26.7,26.7,25.91,25.99,27.04,-1.05,-3.88,35537.84,93185.934,20150326,0.5837,-0.020682871996627772,20150326,603606,东方电缆,56.504584,4.76198,2.305758,0.10053,0.000378,,,,,,,,,29
30,603606.SH,20150327,26.3,26.85,25.93,26.52,25.99,0.53,2.04,33764.05,89391.915,20150327,0.2445,0.01674261455473114,20150327,603606,东方电缆,57.656851,4.859088,2.352778,0.09551,0.000371,,,,,,,,,30
31,603606.SH,20150330,26.65,26.91,25.66,26.55,26.52,0.03,0.11,40201.64,105643.139,20150330,2.5865,0.010549031366901218,20150330,603606,东方电缆,57.722074,4.864585,2.355439,0.11372,0.000354,,,,,,,,,31
32,603606.SH,20150331,26.5,26.5,26.05,26.21,26.55,-0.34,-1.28,20529.3,53864.476,20150331,-1.0212,0.008376854078617102,20150331,603606,东方电缆,56.982884,4.802289,2.325275,0.05807,0.000348,,,,,,,,,32
33,603606.SH,20150401,26.25,26.64,26.12,26.61,26.21,0.4,1.53,26709.47,70895.882,20150401,1.6648,0.04505491920878657,20150401,603606,东方电缆,57.852519,4.875578,2.360762,0.07556,0.000215,,,,,,,,,33
