,ts_code,PE,PB,PS,Turnover,Liquidility,Volatility,Beta1,Cor1,NonSysRisk1,cari,carm,label
0,000004.SZ,470.55513360000003,6.3731565,9.6913621,0.03937225000000001,0.0005709000000000003,0.41220504999999996,1.0219448749999998,0.4279609999999999,0.031736075,0.49247000000000013,0.4362321716344998,0
1,000010.SZ,342.750115525,18.36371055,9.355408200000001,0.031848,0.0007048,0.42596697499999997,0.8191829749999998,0.504782575,0.0462045,0.81441,0.8156980639175522,1
2,000025.SZ,192.44656989999996,6.840061274999999,3.2772480499999994,0.004139749999999999,0.0029892750000000004,0.4202585,1.145752275,0.477541,0.04054054999999999,-0.01813500000000003,-0.0710191951977066,0
3,000068.SZ,1397.8114314499996,14.783319775000004,57.39339747499999,0.009972499999999999,0.00018984999999999998,0.5390415749999998,0.6414439000000001,0.466239075,0.063071525,0.041282499999999986,0.10343065967050039,0
4,000155.SZ,,3.188102950000001,1.3316175750000003,0.012890750000000001,0.000529225,0.4759529249999999,0.9384627499999997,0.3389445500000001,0.025999700000000004,0.025622499999999982,0.10703720493893476,0
5,000498.SZ,18.548654475,2.1013338999999984,0.6766501750000001,0.033082499999999994,0.00028092499999999996,0.290059125,0.9035847250000002,0.4492659999999999,0.01734765,0.4411299999999999,0.46478509489077274,1
6,000503.SZ,1272.13155295,12.976261500000001,80.18206200000002,0.011000999999999997,7.8275e-05,0.48089737499999996,1.2360621999999999,0.44215679999999996,0.044871175000000006,0.06413500000000008,0.030367984730272347,0
7,000571.SZ,28.39179585,1.20661835,2.6364534500000003,0.004736,0.000946725,0.327835275,1.0043728,0.5726783750000001,0.03479410000000001,0.1190625,-0.0718769080184341,0
8,000591.SZ,71.94771440000001,4.253273299999998,0.5143137999999999,0.012218249999999996,0.0006678499999999999,0.373076925,0.97785255,0.464573575,0.029927,0.2863775,0.2975523218272369,0
9,000592.SZ,227.54343222499998,7.340370325,11.532487149999998,0.04760424999999999,6.3875e-05,0.47797507499999997,1.260483,0.38274984999999995,0.034049725,0.4855375000000001,0.7914640125417126,1
10,000603.SZ,21.630828199999996,9.389715175000001,8.068576849999998,0.024267249999999997,0.0007414249999999999,0.4566364500000001,1.4508536500000004,0.5718446500000002,0.0678704,0.03885499999999996,-0.15570645272582057,1
11,000608.SZ,19.09699990909091,0.857364825,3.2741949249999998,0.024723750000000006,0.000175125,0.28785437500000005,0.819162875,0.5254226500000001,0.023050725,-0.47704250000000004,-0.3128398595571646,0
12,000609.SZ,38.7692644,3.4538970750000004,12.847085925000002,0.036441749999999995,0.00016370000000000002,0.448852025,1.0437855749999998,0.325356525,0.021852299999999998,-0.3317224999999999,-0.03394080587222646,1
13,000651.SZ,11.985654375000003,3.4155524999999995,0.75172165,0.0030682500000000007,5.1300000000000014e-05,0.27051075,0.9121311749999998,0.61915135,0.028020499999999997,0.09958999999999994,-0.056372643362094355,0
14,000663.SZ,228.81845082499999,6.629450125,5.440847249999999,0.05694174999999999,0.00026447499999999996,0.5454316750000001,1.4777480749999996,0.5085889750000001,0.077458925,-0.2645525,-0.501037607922738,0
15,000669.SZ,32.4746654,4.1098716500000005,5.691915025,0.014071999999999998,0.00032752499999999995,0.30657377499999994,0.8759914250000002,0.43767102500000005,0.018023575000000003,-0.09246000000000001,0.8003325556029053,0
16,000691.SZ,,15.536519349999997,48.80572397499999,0.009654749999999998,0.0007878249999999998,0.34496344999999995,1.0058977750000002,0.5327371750000001,0.033466050000000004,0.3800624999999999,0.24991020472393544,1
17,000719.SZ,29.78664975000001,3.3491752500000005,2.5856809000000003,0.11043825000000003,0.000870125,0.46085960000000004,1.3336316250000004,0.5069307000000001,0.05494247499999999,-0.17513500000000004,-0.12712847681708891,0
18,000739.SZ,42.31753290000001,3.812090875,1.837011625,0.02137825,0.00013172500000000002,0.4654805250000001,1.3208288999999998,0.463970475,0.0468872,0.07199500000000006,0.287980055485692,0
19,000793.SZ,48.650112574999994,3.367687925,3.2007992500000007,0.017707749999999998,0.00010109999999999999,0.325839175,0.9609389750000001,0.5055369999999999,0.027812224999999996,0.9293374999999999,0.5265283140853196,0
20,000810.SZ,64.95910669999999,1.5115542250000005,0.7958589749999999,0.00528475,0.00414,0.4281167,1.262375525,0.4714685750000001,0.040484049999999994,-0.2565075,0.0439136288579153,0
21,000848.SZ,25.370468875000004,8.393310700000002,4.160119699999999,0.02795575,5.520000000000001e-05,0.286951625,0.5192360499999998,0.36514432499999994,0.011125274999999999,-0.16068000000000002,0.43251564680050353,0
22,000928.SZ,,3.1700851,1.6920032249999994,0.02435,0.000426275,0.48457565000000014,1.376456,0.4988702750000001,0.058097424999999994,0.228705,0.1627377923484755,1
23,000960.SZ,24.579100150000006,3.305681674999999,1.345951025,0.006160250000000001,0.000155975,0.4124854250000001,1.804588349999999,0.7917215749999998,0.10708809999999998,-0.13394,-0.27053979700147746,0
24,000965.SZ,24.08951685,1.56125085,3.4620555499999996,0.015696250000000002,0.000555475,0.35731314999999986,0.9585435,0.5107761999999999,0.033577800000000005,0.508095,0.5461812338717456,0
25,002012.SZ,80.508691975,2.6289001000000005,3.5047222249999996,0.04600749999999999,0.00035577500000000007,0.6797022749999999,1.2203850749999998,0.6702292999999998,0.20295285000000005,0.5226999999999998,1.0503618778890682,0
26,002016.SZ,7.443869025000001,2.0842737,4.2419201499999994,0.00821125,0.0005177249999999999,0.40699294999999996,1.3807423250000002,0.61537615,0.062071224999999994,0.270895,0.07290318901107386,1
